"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"Jan 01, 2016","434.0","429.0","436.5","426.3","12.97K","1.16%"
"Jan 02, 2016","432.7","434.0","435.8","430.0","6.38K","-0.29%"
"Jan 03, 2016","428.7","432.7","433.1","422.0","19.18K","-0.93%"
"Jan 04, 2016","432.9","428.6","435.7","427.0","13.02K","0.99%"
"Jan 05, 2016","431.8","432.9","434.9","428.2","11.22K","-0.24%"
"Jan 06, 2016","428.0","431.8","432.2","425.0","8.74K","-0.89%"
"Jan 07, 2016","459.0","428.9","461.9","427.1","55.66K","7.26%"
"Jan 08, 2016","454.0","458.8","465.0","446.8","30.45K","-1.10%"
"Jan 09, 2016","449.2","454.0","456.0","447.5","8.76K","-1.05%"
"Jan 10, 2016","449.4","449.2","450.3","441.0","13.75K","0.03%"
"Jan 11, 2016","449.3","449.4","452.5","443.6","14.81K","-0.02%"
"Jan 12, 2016","432.0","449.3","449.6","429.3","20.66K","-3.83%"
"Jan 13, 2016","431.1","432.0","436.4","416.4","33.24K","-0.22%"
"Jan 14, 2016","429.3","431.1","434.9","426.0","13.30K","-0.42%"
"Jan 15, 2016","358.9","429.3","429.4","358.0","123.88K","-16.40%"
"Jan 16, 2016","388.4","359.0","392.4","353.2","74.07K","8.24%"
"Jan 17, 2016","382.1","388.4","392.8","378.8","20.63K","-1.63%"
"Jan 18, 2016","387.0","382.0","389.4","375.1","19.55K","1.30%"
"Jan 19, 2016","379.0","387.0","388.4","377.4","17.19K","-2.09%"
"Jan 20, 2016","419.4","378.9","428.0","375.0","82.80K","10.67%"
"Jan 21, 2016","411.0","419.5","424.6","405.0","29.03K","-2.01%"
"Jan 22, 2016","381.0","411.0","411.2","371.3","62.21K","-7.31%"
"Jan 23, 2016","385.6","381.0","394.0","379.9","21.47K","1.21%"
"Jan 24, 2016","402.8","385.6","407.0","385.1","23.22K","4.46%"
"Jan 25, 2016","391.0","402.8","402.8","384.0","22.66K","-2.93%"
"Jan 26, 2016","391.3","391.0","398.0","387.5","13.32K","0.09%"
"Jan 27, 2016","395.0","391.3","397.0","389.7","8.54K","0.93%"
"Jan 28, 2016","378.4","394.7","395.5","375.6","25.03K","-4.20%"
"Jan 29, 2016","377.6","378.4","385.3","360.2","62.20K","-0.20%"
"Jan 30, 2016","377.0","377.6","380.5","374.0","10.50K","-0.18%"
"Jan 31, 2016","365.5","377.0","378.9","362.6","14.85K","-3.04%"
"Feb 01, 2016","371.4","365.5","379.0","363.3","24.84K","1.62%"
"Feb 02, 2016","372.9","371.4","374.8","369.9","10.44K","0.40%"
"Feb 03, 2016","369.0","372.9","374.0","366.0","13.20K","-1.05%"
"Feb 04, 2016","389.8","369.0","393.9","368.6","37.34K","5.64%"
"Feb 05, 2016","386.5","389.8","392.6","384.5","16.90K","-0.84%"
"Feb 06, 2016","373.8","386.5","386.5","366.4","40.20K","-3.31%"
"Feb 07, 2016","372.0","373.7","377.8","369.2","13.06K","-0.47%"
"Feb 08, 2016","370.5","372.0","376.7","369.1","16.88K","-0.41%"
"Feb 09, 2016","374.0","370.5","377.6","370.3","9.08K","0.94%"
"Feb 10, 2016","380.9","374.3","386.5","373.1","33.67K","1.85%"
"Feb 11, 2016","378.0","380.9","383.0","372.3","14.52K","-0.76%"
"Feb 12, 2016","383.0","378.0","383.5","377.1","10.15K","1.32%"
"Feb 13, 2016","393.0","382.9","393.0","382.6","14.73K","2.61%"
