season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,days_since_2011,cnt
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,8.175849,80.5833,10.749882,0,985
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,9.083466,69.6087,16.652113,1,801
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,1.229108,43.7273,16.636703,2,1349
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,1.4,59.0435,10.739832,3,1562
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,2.666979,43.6957,12.5223,4,1600
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.604356,51.8261,6.0008684,5,1606
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.236534,49.8696,11.304642,6,1510
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,-0.245,53.5833,17.875868,7,959
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-1.498349,43.4167,24.25065,8,822
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-0.910849,48.2917,14.958889,9,1321
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,-0.052723,68.6364,8.182844,10,1263
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,0.118169,59.9545,20.410009,11,1162
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,-0.245,47.0417,20.167,12,1406
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,-0.43911,53.7826,8.478716,13,1421
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,2.966651,49.875,10.583521,14,1248
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.888349,48.375,12.625011,15,1204
SPRING,2011,JAN,HOLIDAY,MON,NO WORKING DAY,MISTY,0.264151,53.75,12.999139,16,1000
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.183349,86.1667,9.833925,17,683
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,MISTY,5.732178,74.1739,13.957239,18,1650
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,MISTY,4.298349,53.8333,13.125568,19,1927
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,0.3425,45.7083,23.667214,20,1543
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,-5.2208712,40,11.52199,21,981
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-3.4634801,43.6522,16.5222,22,986
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,-3.4226089,49.1739,10.60811,23,1416
SPRING,2011,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,2.503466,61.6957,8.696332,24,1985
SPRING,2011,JAN,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,2.2225,86.25,19.68795,25,506
SPRING,2011,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,1.165,68.75,7.627079,26,431
SPRING,2011,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,1.563466,79.3043,8.2611,27,1167
SPRING,2011,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,1.236534,65.1739,9.739455,28,1098
SPRING,2011,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.176534,72.2174,4.9568342,29,1096
SPRING,2011,JAN,NO HOLIDAY,MON,WORKING DAY,MISTY,0.499151,60.375,12.541864,30,1501
